first_name,second_name,year,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
George,Abbott,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID
Danny,Ings,2022-2023,8,0,85,1335,21,157.1,369.8,557,13,280,108,5,0,3,1.6,64,FWD
Lukasz,Fabianski,2022-2023,0,0,111,2571,36,0,619,0,9,520,61.8,8,0,1,1.2,49,GK
Angelo,Ogbonna,2022-2023,0,0,33,803,10,22.5,126.2,22,4,144,17.2,3,0,0,0.1,44,DEF
Aaron,Cresswell,2022-2023,0,1,65,1940,26,613.3,381.6,81,8,384,108,5,0,3,1.6,47,DEF
Michail,Antonio,2022-2023,4,3,71,1516,22,193.1,260.6,491,3,191,94.2,4,0,2,1.8,70,FWD
Manuel,Lanzini,2022-2023,0,0,7,143,3,7.6,7,16,0,20,2.9,0,0,0,0.1,50,MID
Kurt,Zouma,2022-2023,2,1,86,1925,27,18.7,415,235,8,382,67.1,7,0,0,1.8,44,DEF
Arthur,Masuaku,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,DEF
Vladimir,Coufal,2022-2023,0,2,54,1804,27,293.4,317.6,47,2,282,66,4,0,4,1.2,40,DEF
Saïd,Benrahma,2022-2023,5,3,90,1825,28,558.6,445.8,587,2,301,159.1,5,0,0,1.1,55,MID
Jarrod,Bowen,2022-2023,5,8,123,2856,43,598.5,529,956,6,358,208.6,8,0,2,3.6,80,MID
Nikola,Vlasic,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,MID
Declan,Rice,2022-2023,3,3,99,2880,43,503.8,694.8,176,10,541,137.5,8,0,5,3.2,47,MID
Tomas,Soucek,2022-2023,1,2,79,2484,35,208.7,469.4,362,3,300,104.2,7,0,2,0.6,50,MID
Pablo,Fornals Malla,2022-2023,2,1,54,1118,17,233.3,213.2,160,3,219,60.5,1,0,0,0.3,49,MID
Ben,Johnson,2022-2023,0,0,26,740,9,70,148.8,3,1,144,22.3,2,0,0,0.1,44,DEF
Nayef,Aguerd,2022-2023,1,0,42,1234,20,46.5,298.4,62,3,241,40.7,4,0,4,0.4,48,DEF
Alphonse,Areola,2022-2023,0,0,7,307,7,0,69.4,0,0,42,6.8,0,0,0,0.9,43,GK
Flynn,Downes,2022-2023,0,0,21,486,7,22.4,38,51,0,70,10.9,1,0,1,0.3,42,MID
Gianluca,Scamacca,2022-2023,3,0,41,921,12,160.7,151.8,312,7,110,62,3,0,3,0.6,66,FWD
Emerson,Palmieri dos Santos,2022-2023,1,0,33,982,19,143.8,168.6,150,2,163,46.4,2,0,2,1.4,40,DEF
Conor,Coventry,2022-2023,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0.1,44,MID
Armstrong,Oko-Flex,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID
Maxwel,Cornet,2022-2023,0,0,11,154,3,22.1,19,62,0,20,9.8,0,0,0,0.1,59,MID
Thilo,Kehrer,2022-2023,0,3,58,1914,29,110.5,311.2,78,4,312,50.3,4,0,4,0.2,43,DEF
Lucas,Tolentino Coelho de Lima,2022-2023,4,4,85,1746,29,365,416.4,406,8,332,119.1,5,0,4,0.8,59,MID
Divin,Mubama,2022-2023,0,0,1,3,0,0.1,0,0,0,3,0,0,0,0,0.1,45,FWD
Joseph,Anang,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK
